Candidate,Date,Headline,Snippet
trump,2016-10-03,Trump Defends Tax Payments,"Donald J. Trump said at a campaign rally in Pueblo, Colo., that he had used the country's tax laws to his benefit “as legally required” and hated the way the current administration spends tax dollars."
trump,2016-10-03,Clinton Hits Trump on Taxes,"Hillary Clinton, responding to the New York Times article on Donald J. Trump’s 1995 tax return, told a rally in Toledo, Ohio, that there should be a law requiring major party nominees to release their taxes."
trump,2016-10-03,Donald Trump: Terroristic Man-Toddler,He’s an immature bully who lashes out when he should be embarrassed.
trump,2016-10-03,Donald Trump Says a Strong Defense Against Cyberattacks Is Essential,"Cyberattacks from foreign governments “constitute one of our most critical national security concerns,” Mr. Trump told a group of military veterans in Virginia."
trump,2016-10-03,State Attorney General Orders Trump Foundation to Cease Raising Money in New York,"Eric T. Schneiderman, the attorney general, said a charities bureau had determined that the Donald J. Trump Foundation was not registered to solicit donations under state law."
trump,2016-10-03,9 Times Donald Trump Complained About Taxes,"On Twitter, Mr. Trump has denounced tax avoiders, complained about misuse of his own tax dollars and warned of the significant pain that paying taxes had caused him or others."
trump,2016-10-04,Mr. Trump’s Government Bailout,"No ordinary citizen could benefit from the tax code like Donald Trump did, and his tax proposal would give people like him even more advantages."
trump,2016-10-04,"Trump, Taxes and Citizenship",Citizens enrich society and themselves when they pull their fair share.
trump,2016-10-04,"Gomez Addams, Donald Trump and the Art of Failing","The patriarch of TV’s “The Addams Family” was called a “failure at failing” by his wife. That means he, like Mr. Trump, might have been able to report taxable income of less than zero."
trump,2016-10-04,"The Trump Dialogues, From a Parody Universe",Comedians take their fictional versions of Donald J. Trump’s inner circle to the internet.
trump,2016-10-04,"Better Polling for Clinton, but Trump Is Keeping Core Support",Donald Trump’s strength among white working-class voters continues to offer him a narrow opening to victory.
trump,2016-10-04,Donald Trump’s Business Decisions in ’80s Nearly Led Him to Ruin,Tax forms and public records show how debt that Mr. Trump amassed fueled enormous losses.
trump,2016-10-04,"When It Comes to Tax Avoidance, Donald Trump’s Just a Small Fry","A new study shows how Fortune 500 companies have managed to shelter trillions of dollars in profits offshore from being taxed, leaving Mr. Trump in the dust."
trump,2016-10-04,Trump as ‘Role Model’? Kelly Ayotte Says She Misspoke,"After praising Donald J. Trump during a debate in her Senate race, Ms. Ayotte tried to walk back her remarks, but it did not quiet critics on social media."
trump,2016-10-04,How a Simple Tax Rule Let Donald Trump Turn a $916 Million Loss Into a Plus,"More than 500,000 individual taxpayers took advantage of the same tax rule as Mr. Trump in 1995. Their average loss: just $97,600."
trump,2016-10-04,Vice-Presidential Debate: What You Missed,"Senator Tim Kaine of Virginia and Gov. Mike Pence of Indiana faced off at Longwood University in Farmville, Va., in their only debate."
trump,2016-10-05,A Trumpism of the Left,Could Hillary Clinton’s technocratic party get a celebrity makeover someday?
trump,2016-10-05,Kaine and Pence on Trump’s Taxes,"The vice-presidential candidates, Tim Kaine and Mike Pence, discussed Mr. Trump’s 1995 tax documents, which The Times recently disclosed, and his refusal to release more recent returns."
trump,2016-10-05,Kaine on Pence’s Support of Trump,"Throughout the night, Tim Kaine repeatedly expressed disbelief that Mike Pence would defend various positions of his running mate’s."
trump,2016-10-05,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress,"With Mr. Trump’s support plunging in swing states, Republican congressional candidates are faced with openly fleeing the nominee to save their own campaigns."
trump,2016-10-05,Trump Says Pence Won the Debate,"Donald J. Trump, the Republican presidential nominee, said in Henderson, Nev., that Mike Pence won the vice-presidential debate and called him a “great Christian.”"
trump,2016-10-05,Mike Pence’s Defense Strategy: Dodge and Deflect Donald Trump’s Words,"At his debate with Senator Tim Kaine, Mr. Pence seemed to decide that all of the fires that Mr. Trump has set in the past year could not be doused in a single night."
trump,2016-10-05,"After Mike Pence’s Debate Showing, Donald Trump Takes Credit",The Clinton and Trump teams each praised their vice-presidential candidates after the debate between Mike Pence and Tim Kaine.
trump,2016-10-05,Why Wouldn’t Tiffany Trump Speak for Herself?,I’m sure she could have handled it. Yet the campaign was subliminally suggesting that somehow she couldn’t.
trump,2016-10-05,Donald Trump as Role Model? G.O.P. Senator ‘Absolutely’ Has Second Thoughts,Senator Kelly Ayotte of New Hampshire found herself apologizing for praising her party’s presidential candidate as a good role model.
trump,2016-10-05,"In Visceral Ads for Hillary Clinton, Donald Trump Does All the Talking","Three Clinton ads depict how young women, children and veterans might respond when shown insults by Mr. Trump, a marked departure from traditional attack ads."
trump,2016-10-06,Trump’s Deals: Hype and Reality,"Donald J. Trump is a prolific, if controversial, businessman. Here, we examine some of his ventures to find out how they fared. (Pictured: Mr. Trump showing off his home furnishings collection in 2007.)"
trump,2016-10-06,"Global Trade War, Trump Edition","Why Larry Summers, Robert Reich and other economists think the Republican presidential candidate’s trade policies are ‘lunatic.’"
trump,2016-10-06,Donald Trump’s Ventures Began With a Lot of Hype. Here’s How They Turned Out.,"Of roughly 60 ventures started or promoted by Mr. Trump, a third did not work out, a third had some success and some problems, and a third met expectations."
trump,2016-10-06,Mike Pence Disavows Donald Trump’s Earlier Proposal Barring Muslims,"Asked during a number of interviews on Thursday about why he will not condemn the Muslim ban now, Mr. Pence said, “Because that’s not Donald Trump’s position now.”"
trump,2016-10-06,Donald Trump Takes Advantage of a Republican Party Pitted Against Itself,"Mr. Trump has fomented divisions that began before he started his campaign, capitalizing on working-class whites’ anger at the party establishment."
trump,2016-10-06,"The White House Rule: No Tax Returns, No Job","We wouldn’t have let someone with Trump’s returns serve in the cabinet, so how can he be president?"
trump,2016-10-06,Megyn Kelly and Sean Hannity Indulge in Testy Public Clash,"The two Fox News anchors criticized each other’s treatment of the presidential candidates, with Mr. Hannity accusing Ms. Kelly of supporting Hillary Clinton."
trump,2016-10-06,Who’s Sorry Now? The Country,Clinton even leads Trump when it comes to apologies.
trump,2016-10-06,"Good, Bad and Mad: Andrew Rosenthal on the News","The Opinion columnist Andrew Rosenthal on the vice-presidential debate, efforts to legalize marijuana and other news."
trump,2016-10-06,"Debates Past, and Debates Future","Readers urge the presidential candidates to go beyond attacks and sound bites, and reflect on the role of faith in the vice-presidential race."
trump,2016-10-07,Letterman Has No Love for ‘Damaged’ Trump,"In an interview, Mr. Letterman gave his thoughts on the Republican presidential nominee and why he considers him “a person to be shunned.”"
trump,2016-10-07,"Balance, Trump and Lies","Is any equivalence of the treatment of Clinton and Trump “false” because they are not compatible, any more than, say, harassment and murder?"
trump,2016-10-07,Donald Trump Apology Caps Day of Outrage Over Lewd Tape,A vulgar discussion recorded in 2005 on a soap opera set added to evidence that Mr. Trump has a record of sexist behavior.
trump,2016-10-07,"A Must-Win Debate for Donald Trump, but Not a Must-Rehearse One","Hillary Clinton and Mr. Trump are getting ready, in their own ways, for Sunday’s town-hall-style debate in St. Louis, with Mr. Trump’s team calling it a must-win."
trump,2016-10-07,"How This Jobs Report Can Help Clinton, and Trump","The numbers are such that Hillary Clinton can argue that the economy continues to improve, and Donald Trump can argue that things haven’t improved enough."
trump,2016-10-07,My Dad Set the Precedent Donald Trump Is Flouting,"In 1967, my father convinced George Romney to release 12 years of tax returns, helping to establish a precedent that Donald J. Trump, so far, has defied."
trump,2016-10-07,When Donald Trump Went to Washington and Got Himself a Tax Break,"In less than two years, a set of provisions was passed that stood to be enormously lucrative to Mr. Trump and the rest of the real estate industry."
trump,2016-10-07,How Donald Trump Uses the Tax Code in Ways You Can’t,"Real estate developers like Donald J. Trump can combine a number of breaks in the tax code to generate large deductions, which could have allowed him to avoid paying any federal income tax for decades."
trump,2016-10-07,The G.O.P. Ticket; Fox News in Chinatown,"A look at how the businessman at the top of the ticket is relying on the professional politician at the bottom. And in New York, a Fox News piece crudely mocks Chinese-Americans."
trump,2016-10-07,How Many Times Have Both Parties Nominated New Yorkers for President?,"The Trump-Clinton campaign bears some, though not too many, similarities to three other New York-centric presidential elections."
trump,2016-10-08,The Sleaziness of Donald Trump,He boasted about assaulting women. Enough.
trump,2016-10-08,Donald Trump’s Apology That Wasn’t,"In a video expressing regret over his lewd comments, Mr. Trump remained defiant, calling the disclosure a “distraction” and used it to renew political and personal attacks on Hillary Clinton."
trump,2016-10-08,"Donald Trump, Groper in Chief",A former business partner recounts her experience with Trump in the 1990s.
trump,2016-10-08,"Tough Donald Trump Coverage, if a Little Late","The paper has offered readers powerful coverage of Donald Trump, but what if it had started doing so earlier in the campaign?"
trump,2016-10-08,Why Republicans Are Probably Stuck With Donald Trump,"Unless he becomes incapacitated or quits, getting rid of him is, legally and logistically, “the equivalent of a triple bank shot.”"
trump,2016-10-08,Donald Trump’s Lewd Comments About Women,"In a 2005 recording obtained by The Washington Post before the presidential election, Donald J. Trump talks about women in vulgar terms to Billy Bush, then the host of “Access Hollywood.”"
trump,2016-10-08,Lewd Donald Trump Tape Is a Breaking Point for Many in the G.O.P.,Pressure built on the candidate to withdraw from the presidential campaign as party leaders urged the G.O.P. to shift its focus to down-ballot contests.
trump,2016-10-08,Those Who Don’t Understand Trump Are Doomed to Repeat Him,"Throughout history, countries have struggled to recover from economic crises, leaving the door open for nationalism and populist leaders."
trump,2016-10-08,Transcript of Donald Trump’s Videotaped Apology,"In a brief video early Saturday, Mr. Trump expressed regret for vulgar comments he made about women in 2005."
trump,2016-10-08,Billy Bush Says He’s Ashamed by Lewd Talk With Donald Trump,"Mr. Bush, a cousin of President George W. Bush, said he was “less mature, and acted foolishly“ in a 2005 conversation with Mr. Trump about women."
trump,2016-10-09,Trump and Clinton’s Second Debate: Analysis,Here’s how we analyzed in real time the second presidential debate between Hillary Clinton and Donald J. Trump.
trump,2016-10-09,Donald Trump Vows Retaliation as Republicans Abandon Him,Mr. Trump called the defectors “self-righteous hypocrites” and predicted their defeat at the ballot box.
trump,2016-10-09,Men Say Trump’s Remarks on Sex and Women Are Beyond the Pale,"Men of many backgrounds and parts of the country had varied opinions on how men talk, but they agreed that Mr. Trump’s version was unacceptable."
trump,2016-10-09,How NBC Finished Second on the Trump Video Story,Top NBC officials learned early last week of the video of Donald J. Trump making vulgar remarks about women. But it was The Washington Post that broke the story.
trump,2016-10-09,"Inside Trump Tower, an Increasingly Upset and Alone Donald Trump","Shunned by many Republicans over his lewd comments about women, Mr. Trump spent most of Friday and Saturday at his headquarters as his advisers pondered his next steps."
trump,2016-10-09,Donald Trump’s Loyalists Aren’t Fleeing the Latest Storm,The Republican candidate’s supporters are apparently standing by him despite the release of a 2005 recording of him speaking about women in vulgar terms.
trump,2016-10-09,Donald Trump Highlights Breitbart Interview With Clinton Accuser,"On Twitter, the Republican candidate pointed to a new interview with Juanita Broaddrick, who claimed in 1999 that Bill Clinton had raped her."
trump,2016-10-09,Utah’s Top Mormons in ‘All-Out Revolt’ Against Donald Trump,Outrage among Republicans about Mr. Trump has allowed Democrats to contemplate what was once unthinkable: taking the state for Hillary Clinton in November.
trump,2016-10-09,"Donald Trump the Showman, Now Caught in the Klieg Lights","Donald J. Trump deftly used the blending of news and entertainment to build a brand, and then a campaign. But all that drama has turned into a big, messy show."
trump,2016-10-09,Donald Trump’s Long Record of Degrading Women,"The candidate has a history of insulting or unwelcome conduct that goes back several decades, The New York Times has found."
trump,2016-10-10,Donald Trump Goes Low,"Sniffing and glowering, Donald Trump prowled behind Hillary Clinton. Once again, she was the only adult on the stage."
trump,2016-10-10,"Donald Trump, Barbarian at the Debate",We have to stop grading this man on a curve.
trump,2016-10-10,"Trump, the Next Big Short","For years, business has wanted someone with corporate experience in the White House. Suddenly, that prospect doesn’t seem so appealing."
trump,2016-10-10,"Trump’s Second Debate, in Brief",He just lies. Relentlessly.
trump,2016-10-10,A Partisan Crowd Watches the Debate at the New Trump Hotel,"Sunday’s debate drew a crowd to the bar of the month-old Trump International Hotel in Washington, where the TVs were turned to Fox and free wine was flowing."
trump,2016-10-10,The Donald Trump We Always Knew,Neither Sunday’s debate nor the 2005 video showed us anything new about the Republican nominee.
trump,2016-10-10,Trump to Clinton: ‘You’d Be in Jail’,"Donald J.Trump told Hillary Clinton during their second presidential debate that if he were elected he would seek a special prosecutor’s investigation of her and that if he were in charge, “You'd be in jail.”"
trump,2016-10-10,Trump and Clinton in Second Presidential Debate,Donald J. Trump and Hillary Clinton faced off in a 90-minute debate filled with unremitting hostility.
trump,2016-10-10,"For G.O.P. Candidates, Renouncing Donald Trump Carries Dire Risks","In interviews, many Trump supporters in Arizona and New Hampshire spoke witheringly of incumbents who have withdrawn their support for the party’s presidential nominee."
trump,2016-10-10,Donald Trump Acknowledges Not Paying Federal Income Taxes for Years,The admission of using a loss to avoid future taxes came in response to a question at Sunday’s debate with Hillary Clinton.
trump,2016-10-13,What Donald Trump Is Right About,"Actions count more than words, and his are heinous."
trump,2016-10-13,Trump Versus Twitter,Mr. Trump’s descriptions of sexual assault — and new allegations against him — have inspired inventive social-media responses.
trump,2016-10-13,"Donald Trump, Unshackled and Unhinged","He still has a chance to turn things around, but he’s showing no inclination that he wants to."
trump,2016-10-13,Donald Trump Threatens to Sue The Times Over Article on Unwanted Advances,A lawyer for Mr. Trump denied the allegations of inappropriate touching made by two women in an article on Thursday in The New York Times.
trump,2016-10-13,"Donald Trump, Slipping in Polls, Warns of ‘Stolen Election’","Mr. Trump’s claims highlight concerns that he may not accept a Clinton victory, potentially undermining the legitimacy of the election and the democratic process."
trump,2016-10-13,Donald Trump Calls Allegations by Women ‘False Smears’,Donald Trump said an article in The New York Times about two women who charged that he had inappropriately touched them was a “total fabrication.”
trump,2016-10-13,How to Fix the Tax Code and Close Donald Trump’s Loopholes,"Though the Republican nominee agrees the tax code is unfair, he has proposed nothing to eliminate any of the rules that allowed him to amass a fortune."
trump,2016-10-13,Writer for People Magazine Describes Forced Kiss by Trump,Natasha Stoynoff described the 2005 encounter in an article on the magazine’s website. Mr. Trump denied her story on Twitter.
trump,2016-10-13,"Voice Shaking, Michelle Obama Calls Trump Comments on Women ‘Intolerable’",The first lady exhorted voters in visceral terms to reject Donald J. Trump’s candidacy and back Hillary Clinton as a matter of conscience.
trump,2016-10-13,Donald Trump’s Toxic Masculinity,His offensive macho posture clicks with men who hear in him an echo of their own desperation.
trump,2016-10-14,Erick Erickson: The G.O.P. After Donald Trump,Voters are being held hostage by hollow promises from both parties. The Republicans have a chance to win back their trust.
trump,2016-10-14,‘Never Trump.’ But Then What?,"At the annual RedState gathering, prominent conservatives reflect on how Donald Trump has divided their party."
trump,2016-10-14,Closing Trump’s Tax Loopholes,James Stewart of The New York Times on the exit of Wells Fargo’s chief executive and four steps to close the loopholes that allowed Donald Trump to avoid taxes.
trump,2016-10-14,Who Is to Blame for Trump’s Polling?,"If you ask the candidate, anyone or anything other than himself is to blame for his standing in the polls. The New York Times gives Hillary Clinton an 89 percent chance of winning the election."
trump,2016-10-14,Press Tensions at Trump Rallies,"When reporters enter campaign rallies for Donald J. Trump, it is increasingly common for his supporters to boo and yell. The Times media critic Jim Rutenberg examines the relationship between the news media and the Republican presidential nominee."
trump,2016-10-14,"Donald Trump Assails His Accusers as Liars, and Unattractive","Mr. Trump attacked the women accusing him of inappropriate sexual advances, while claiming that the news media and Hillary Clinton were conspiring against him."
trump,2016-10-14,Donald Trump vs. a Free Press,Mr. Trump is wrong to think he can win a lawsuit against The Times for publishing allegations about his groping of women.
trump,2016-10-14,"After Donald Trump, Will More Women Believe Their Own Stories?",This week’s wave of claims against the Republican nominee suggest the possibility of a shift in how women think about sexual assault.
trump,2016-10-14,"Trump as Champion of Working Class? ‘Come On,’ Obama Says","President Obama implored voters to “reject a dark and pessimistic vision” offered by Donald J. Trump, who he said faked his concern for the working class."
trump,2016-10-14,Where’s the Love for Trump? Not in Ads for G.O.P. Candidates,Some Republicans running for the House and Senate did not mention of Donald Trump in political advertising because it would hurt them with undecided voters.
trump,2016-10-15,Donald Trump and Other Animals,I compared him to an insect. But maybe that didn’t go far enough.
trump,2016-10-15,How to Be a Man in the Age of Trump,Will the G.O.P. candidate unwittingly inspire a new bipartisan feminism?
trump,2016-10-15,Trump Says Allegations Are ‘100% False’,"At a rally in Charlotte, N.C., Donald J. Trump described himself as a victim of a smear campaign and accused Hillary Clinton of “character assassination.”"
trump,2016-10-15,Magnate’s Twin Goals: Fighting Climate Change and Electing Donald Trump,"Andrew Sabin, who made a fortune recycling precious metals, is a political paradox, throwing his wallet behind climate change initiatives and the Republican nominee."
trump,2016-10-15,Where the Trump Name Is Emblazoned Now: The Front Yard,"A 3,000-mile trek across the northern United States provides evidence that, at least in sheer number of campaign signs, Trump supporters rule the roadways."
trump,2016-10-15,Donald Trump’s Barrage of Heated Rhetoric Has Little Precedent,"His near-apocalyptic warnings, accusations and crude innuendo are nearly unheard-of in modern campaigns, unnerving Republicans and enraging Democrats."
trump,2016-10-15,"‘We Should Take a Drug Test’ Before Debate, Donald Trump Says","Mr. Trump, offering no evidence, suggested to a crowd in New Hampshire that Hillary Clinton may have been on drugs during their last debate."
trump,2016-10-15,Michelle Schools Donald Trump,"A quarter century after Anita Hill lost to Clarence Thomas, Michelle Obama takes Trump to task."
trump,2016-10-15,Issues in Hillary Clinton’s Past Leave Her Muted in Furor Over Donald Trump,Mrs. Clinton has been scarred by old missteps and paralyzed by her husband’s history of facing accusations of sexual misconduct.
trump,2016-10-15,"For Paul Ryan, a Long, Labored Path Leading Away From Donald Trump","The House speaker, no fan from the start, struggles to safeguard his party’s control of Congress while declining to defend the billionaire candidate’s every misstep."
trump,2016-10-16,Officials Fight Donald Trump’s Claims of a Rigged Vote,Mr. Trump sowed doubts about the integrity of the democratic process on Sunday even as his own running mate assured voters the election would be legitimate.
trump,2016-10-16,Donald Trump Says He’s a ‘Big Fan’ of Hindus,"He also praised India’s prime minister, Narendra Modi, at an Indian-American charity event."
trump,2016-10-16,Peter Thiel to Donate $1.25 Million in Support of Donald Trump,"The billionaire investor, the only prominent supporter of the Republican candidate in the tech community, joins a very short list of large Trump contributors."
trump,2016-10-16,"Hillary Clinton Builds $150 Million War Chest, Doubling Donald Trump","September was Mr. Trump’s best fund-raising month, but he and committees linked to his campaign began October with only $75 million in cash on hand."
trump,2016-10-16,"Donald Trump and the G.O.P.: The Party of Lincoln, Reagan and, Perhaps, Extinction","Mr. Trump’s rise has exacerbated tensions and deepened divisions within the 162-year-old Republican Party, raising concerns that it may go the way of the Whigs."
trump,2016-10-16,"Specter of Trump Loosens Tongues, if Not Purse Strings, in Silicon Valley","The tech community’s usual reticence about politics is being upended by the prospect of a President Trump, even as traditional fund-raising is lagging."
trump,2016-10-16,Ripples From the ‘How Low Can They Go’ Campaign,"As the run for president veered to Donald J. Trump’s treatment of women, and whether Bill Clinton’s was worse, Americans collectively shook their heads."
trump,2016-10-16,The California Ballot Measure That Inspired a Tax Revolt,"Proposition 13, a populist crusade in 1978 to cut property taxes, set in motion a political process that still reverberates across the nation."
trump,2016-10-16,"Corrections: October 16, 2016","Corrections appearing in print on Sunday, October 16, 2016."
trump,2016-10-16,North Carolina G.O.P. Building Is Firebombed,"Graffiti painted nearby depicted a swastika and the warning, “Nazi Republicans leave town or else.”"
trump,2016-10-17,"Donald Trump, the Worst of America","He is the logical extension of misogyny, racism, privilege and anti-intellectualism."
trump,2016-10-17,Donald Trump’s Playbook for Smearing,"When Trump is feeling cornered, in business or politics, he has a go-to strategy: He lies, and he just keeps lying."
trump,2016-10-17,The New Protesters Defying Donald Trump: His Customers,"Small, inconspicuous acts of rebellion have taken aim at perhaps the candidate’s most prized possession — his brand name — by boycotting what he’s selling."
trump,2016-10-17,"For Donald Trump, Lessons in Grace",The patriotic concession speeches of prior presidential candidates show an alternative to his corrosive conspiracies.
trump,2016-10-17,Audience Members Walk Out on Amy Schumer After Trump Criticisms,"At a show in Tampa, Fla., the comedian’s criticisms of Donald J. Trump drew boos, and some 200 people left."
trump,2016-10-17,Donald Trump Reveals Evangelical Rifts That Could Shape Politics for Years,"While most of the religious right’s old guard has chosen to stand by Mr. Trump, its judgment and authority are being challenged by evangelicals who are younger, minorities and women."
trump,2016-10-17,Why Trump Doubled Down on the Central Park Five,"The Republican nominee still says, despite all the evidence, that the five men confessed to sexual assault so they must be guilty. He’s not alone."
trump,2016-10-17,‘They’re Lies’: Melania Trump Rejects Women’s Claims That Husband Groped Them,"Ms. Trump, who has shied from interviews since her plagiarized speech at the Republican convention, said a lewd recording of her husband was “not the man that I know.”"
trump,2016-10-17,Jared Kushner Talks of a Trump TV Network With a Media Deal Maker,"Mr. Kushner, Donald J. Trump’s son-in-law, informally reached out to a veteran media investment banker, who is also a friend, about setting up the channel."
trump,2016-10-17,I Hardly Expected My Letter to Donald Trump to Go Viral,"Like lots of lawyers, I write dozens of lawyer letters every year — and they tend to have an audience of one."
trump,2016-10-18,Pledging the Trump Fraternity,"Like other groups, Delta Kappa Trump has its own status symbols and initiation ceremonies."
trump,2016-10-18,Obama to Trump: Stop Whining,"Speaking at the White House with the Italian prime minister, President Obama responded to a journalist’s question about Donald J. Trump’s claims of a rigged election by saying Mr. Trump should “stop whining.”"
trump,2016-10-18,Trump Calls for Term Limits,"Donald J. Trump, speaking Tuesday at a campaign event in Colorado Springs, said that if he was elected president he would call for congressional term limits."
trump,2016-10-18,Shameful Silence on Donald Trump’s Lies About Vote-Rigging,Republican leaders must reject the ridiculous notion that a national election can be “rigged.”
trump,2016-10-18,What Our Sons Are Learning From Donald Trump,A presidential candidate’s definition of masculinity prompts a second look at the damaging assumptions behind “boys will be boys.”
trump,2016-10-18,Obama Tells Trump: Stop ‘Whining’ and Trying to Discredit the Election,"At a news conference, the president said Donald J. Trump’s claims showed that the Republican Party’s nominee lacked the leadership or toughness to be president."
trump,2016-10-18,Donald Trump Says He Might Meet With Putin Before Inauguration,"In a radio interview on Monday, Mr. Trump said that Hillary Clinton and the Obama administration have been too aggressive with the Russian president."
trump,2016-10-18,Hillary Clinton and Donald Trump Answer Your Questions,"Readers told us what issues they wanted to hear more about, and the campaigns responded."
trump,2016-10-18,"Trump Wants Big Changes to Legal Immigration, Too — How Big?",Donald J. Trump has proposed the most substantial restrictions on legal immigration in nearly a century.
trump,2016-10-18,Magazine Says Six People Corroborate Writer’s Claim Trump Assaulted Her,"A People magazine article contains comments supporting the accusation of Natasha Stoynoff, a writer for the magazine."
trump,2016-10-19,The Trump Afterlife,Keeping his movement going after November will be a challenge.
trump,2016-10-19,Melania Trump Mimics Hillary Clinton to Defend Donald Trump,She’s parroting the arguments Clinton used decades ago about a “conspiracy” against Bill.
trump,2016-10-19,Trump in a Bikini,He relentlessly scrutinizes others. Let’s conduct various examinations of him.
trump,2016-10-19,The Religious Right’s Trump Schism,“The world is getting a glimpse into the dark and rotting core of evangelicalism.”
trump,2016-10-19,Goldman Sachs C.E.O. on Trump,"“We weren’t meeting in secret and we certainly weren’t plotting the destruction” of America, said Lloyd Blankfein, reacting to comments from Donald Trump."
trump,2016-10-19,Review: ‘Michael Moore in TrumpLand’ Isn’t About Donald Trump,"The film, which captures a live stage performance by Mr. Moore, is not a rollicking attack on the Republican nominee but a paean to Hillary Clinton."
trump,2016-10-19,Trump and Clinton’s Last Debate: Analysis,Here’s how we analyzed in real time the last presidential debate between Hillary Clinton and Donald J. Trump.
trump,2016-10-19,How Donald Trump Hacked the Politics of Foreign Policy,Scholars of American politics say Mr. Trump is using international issues as a medium to connect with voters’ gut-level fears and desires.
trump,2016-10-19,Donald Trump’s Call to Monitor Polls Raises Fears of Intimidation,"The candidate has issued dark warnings about a “stolen” election and voter fraud, using language that is leading to anxiety in minority communities."
trump,2016-10-19,How Silicon Valley Treats a Trump Backer: Peter Thiel,"Peter Thiel, who has drawn fire from fellow tech executives for supporting Donald J. Trump, plans to address the issue in a speech this month."
trump,2016-10-20,Trump and Clinton on Abortion,Donald J. Trump and Hillary Clinton offered drastically different opinions on the issue of abortion during the presidential debate in Las Vegas on Wednesday.
